Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Eugene Omoruyi,SF,24,DAL,4,0,4.5,0.5,1.3,.400,0.3,0.5,.500,0.3,0.8,.333,.500,0.5,1.0,.500,0.5,1.3,1.8,0.5,0.0,0.0,0.0,0.5,1.8
Miye Oni,SG,24,UTA,16,0,2.8,0.1,0.6,.222,0.1,0.5,.125,0.1,0.1,1.000,.278,0.0,0.1,.000,0.1,0.4,0.4,0.3,0.0,0.0,0.1,0.4,0.3
Cedi Osman,SF,26,CLE,62,3,22.4,3.8,8.8,.426,2.0,5.5,.352,1.8,3.3,.552,.537,1.4,2.0,.661,0.4,1.8,2.2,2.1,0.8,0.2,1.0,1.9,10.8
Daniel Oturu,C,22,TOR,3,0,9.0,1.0,2.0,.500,0.0,0.3,.000,1.0,1.7,.600,.500,1.0,1.7,.600,0.3,1.3,1.7,0.0,0.0,0.7,0.0,0.3,3.0
Kelly Oubre Jr.,SF,26,CHO,72,13,26.7,5.5,12.5,.438,2.5,7.4,.345,2.9,5.1,.573,.540,1.6,2.5,.667,1.1,2.9,4.0,1.1,1.0,0.4,0.9,2.5,15.2
Jaysean Paige,PG,27,DET,1,0,7.0,0.0,3.0,.000,0.0,2.0,.000,0.0,1.0,.000,.000,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0
Trayvon Palmer,SG,27,DET,1,0,17.0,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0
Kevin Pangos,PG,29,CLE,24,3,6.9,0.6,1.9,.326,0.3,1.1,.231,0.4,0.8,.450,.391,0.1,0.2,.750,0.1,0.4,0.5,1.3,0.1,0.0,0.3,0.5,1.6
Jabari Parker,PF,26,BOS,12,0,9.3,1.5,3.2,.474,0.7,1.3,.500,0.8,1.8,.455,.579,0.8,0.8,1.000,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4
Eric Paschall,PF,25,UTA,56,3,12.9,2.0,4.1,.482,0.7,1.9,.374,1.3,2.2,.579,.570,1.1,1.5,.771,0.5,1.3,1.9,0.6,0.2,0.1,0.5,0.9,5.8
Chris Paul,PG,36,PHO,62,62,33.0,5.6,11.4,.492,1.0,3.1,.326,4.6,8.3,.554,.537,2.7,3.2,.838,0.3,4.1,4.4,10.7,1.8,0.3,2.4,2.0,14.9
Cameron Payne,PG,27,PHO,55,11,22.1,4.2,10.1,.414,1.2,3.6,.338,3.0,6.5,.456,.474,1.4,1.6,.843,0.4,2.6,2.9,4.8,0.7,0.3,1.8,2.1,11.0
Elfrid Payton,PG,27,PHO,47,1,10.9,1.3,3.4,.384,0.1,0.3,.250,1.2,3.0,.399,.396,0.3,0.6,.400,0.4,1.4,1.8,2.0,0.5,0.1,1.0,0.8,2.9
Gary Payton II,PG,29,GSW,67,15,17.4,3.0,4.8,.617,0.6,1.7,.368,2.3,3.1,.758,.684,0.5,0.8,.589,1.0,2.4,3.4,0.9,1.3,0.3,0.6,1.8,7.1
Norvel Pelle,C,28,UTA,3,0,6.3,1.0,1.7,.600,0.0,0.0,0,1.0,1.7,.600,.600,0.0,0.0,0,1.0,1.0,2.0,0.0,0.0,0.3,0.7,0.3,2.0
Reggie Perry,PF,21,IND,1,0,10.0,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0
Jamorko Pickett,PF,24,DET,11,0,12.1,1.1,3.5,.308,0.8,2.8,.290,0.3,0.7,.375,.423,0.1,0.2,.500,0.5,1.6,2.2,0.6,0.0,0.5,0.3,0.8,3.1
Theo Pinson,SF,26,DAL,16,0,7.5,0.6,2.0,.281,0.4,1.6,.240,0.2,0.4,.429,.375,0.3,0.3,1.000,0.1,1.1,1.2,0.8,0.3,0.1,0.1,0.6,1.8
Mason Plumlee,C,31,CHO,69,69,24.9,2.8,4.4,.635,0.0,0.0,.000,2.8,4.4,.639,.635,0.9,2.3,.391,2.5,5.4,7.9,3.2,0.8,0.7,1.3,3.1,6.6
Jakob Poeltl,C,26,SAS,65,64,29.0,6.0,9.8,.618,0.0,0.0,1.000,6.0,9.7,.618,.619,1.4,2.8,.494,3.9,5.3,9.2,2.8,0.7,1.8,1.6,3.1,13.4
Aleksej Pokusevski,PF,20,OKC,60,11,20.0,3.0,7.4,.405,0.9,3.2,.281,2.1,4.2,.500,.466,0.6,0.8,.700,1.2,3.9,5.1,2.0,0.6,0.6,1.5,1.4,7.5
Yves Pons,SF,22,MEM,9,0,3.6,0.2,0.6,.400,0.1,0.2,.500,0.1,0.3,.333,.500,0.0,0.2,.000,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.2,0.6
Jordan Poole,SG,22,GSW,72,47,29.9,6.2,13.8,.451,2.8,7.5,.366,3.5,6.3,.553,.551,3.2,3.5,.920,0.4,2.9,3.3,3.8,0.8,0.3,2.4,2.7,18.4
Kevin Porter Jr.,PG,21,HOU,57,57,30.7,5.2,12.6,.408,2.4,6.5,.367,2.8,6.2,.450,.501,1.9,3.1,.617,0.7,3.5,4.2,6.2,1.1,0.4,3.1,2.6,14.6
Michael Porter Jr.,SF,23,DEN,9,9,29.4,4.1,11.4,.359,1.1,5.3,.208,3.0,6.1,.491,.408,0.6,1.0,.556,1.0,5.6,6.6,1.9,1.1,0.2,1.3,1.8,9.9
Otto Porter Jr.,PF,28,GSW,61,15,22.0,3.1,6.5,.469,1.3,3.4,.368,1.8,3.1,.579,.565,0.8,1.0,.814,1.3,4.4,5.7,1.5,1.1,0.5,0.6,1.3,8.2
Bobby Portis,C,26,MIL,68,59,28.4,5.8,12.1,.478,1.9,4.7,.393,3.9,7.4,.532,.554,1.3,1.7,.752,2.5,6.6,9.1,1.2,0.8,0.8,1.3,2.5,14.7
Kristaps Porziņģis,PF,26,WAS,14,14,28.1,7.1,15.1,.469,1.4,4.5,.317,5.6,10.6,.534,.517,6.4,7.4,.865,2.2,6.1,8.4,3.1,0.8,1.6,1.6,3.1,22.0
Micah Potter,C,23,DET,3,0,10.3,1.7,3.7,.455,0.0,0.7,.000,1.7,3.0,.556,.455,0.7,0.7,1.000,1.3,1.7,3.0,0.0,0.3,0.3,0.3,1.3,4.0
Dwight Powell,C,30,DAL,78,67,21.6,3.2,4.8,.656,0.2,0.5,.351,3.0,4.3,.689,.673,1.9,2.4,.791,2.1,2.7,4.8,1.2,0.4,0.5,0.7,2.7,8.4
Myles Powell,PG,24,PHI,11,0,4.7,0.5,1.5,.294,0.1,0.5,.167,0.4,1.0,.364,.324,0.2,0.2,1.000,0.1,0.5,0.5,0.3,0.1,0.0,0.3,0.7,1.2
Norman Powell,SG,28,LAC,3,2,26.7,6.7,14.0,.476,2.0,4.7,.429,4.7,9.3,.500,.548,5.7,6.7,.850,1.0,2.0,3.0,4.0,0.7,0.7,1.7,2.7,21.0
Joshua Primo,SG,19,SAS,45,11,18.5,1.9,5.2,.373,0.8,2.7,.298,1.1,2.5,.455,.451,0.8,1.0,.766,0.7,1.6,2.3,1.5,0.4,0.5,1.1,1.5,5.5
Taurean Prince,PF,27,MIN,66,8,17.0,2.6,5.7,.457,1.3,3.3,.377,1.3,2.4,.571,.568,0.9,1.1,.773,0.4,2.2,2.5,1.0,0.7,0.3,0.8,1.6,7.3
Payton Pritchard,SG,24,BOS,67,2,13.9,2.1,5.1,.421,1.3,3.3,.407,0.8,1.8,.445,.553,0.3,0.3,1.000,0.4,1.4,1.9,1.9,0.3,0.1,0.6,0.9,5.9
Trevelin Queen,SG,24,HOU,10,0,7.4,1.5,3.3,.455,0.9,2.4,.375,0.6,0.9,.667,.591,0.4,0.4,1.000,0.7,0.9,1.6,0.4,0.5,0.1,0.7,0.6,4.3
Neemias Queta,C,22,SAC,11,0,6.5,0.9,2.2,.417,0.0,0.0,0,0.9,2.2,.417,.417,0.4,0.6,.571,1.1,0.7,1.8,0.4,0.1,0.4,0.4,1.0,2.2
Immanuel Quickley,PG,22,NYK,74,2,22.5,3.4,8.8,.389,1.7,4.9,.347,1.7,4.0,.440,.485,2.2,2.5,.888,0.4,2.6,2.9,3.2,0.7,0.0,1.2,2.1,10.8
Jahmi'us Ramsey,SG,20,SAC,19,0,7.1,1.3,3.1,.414,0.3,0.9,.278,1.0,2.1,.475,.457,0.4,0.7,.500,0.2,0.5,0.7,0.4,0.1,0.1,0.3,0.5,3.2
Julius Randle,PF,27,NYK,72,72,35.3,7.1,17.3,.411,1.7,5.4,.308,5.4,11.9,.458,.459,4.2,5.6,.756,1.7,8.2,9.9,5.1,0.7,0.5,3.4,2.8,20.1
Austin Reaves,SG,23,LAL,57,16,22.5,2.2,4.9,.457,0.8,2.6,.307,1.4,2.2,.633,.540,1.3,1.5,.837,0.7,2.2,2.9,1.6,0.4,0.3,0.6,1.5,6.5
Cam Reddish,SF,22,NYK,15,0,14.3,1.8,4.3,.415,0.5,2.1,.258,1.3,2.3,.559,.477,1.9,2.1,.906,0.3,1.1,1.4,0.7,0.8,0.3,0.9,1.0,6.1
Davon Reed,SG,26,DEN,44,5,13.4,1.6,3.3,.483,0.8,1.8,.413,0.8,1.4,.571,.598,0.2,0.2,.800,0.3,1.9,2.3,1.0,0.5,0.2,0.3,1.3,4.1
Paul Reed,C,22,PHI,35,2,7.4,1.0,2.2,.474,0.1,0.2,.250,1.0,1.9,.500,.487,0.1,0.3,.400,1.0,1.1,2.1,0.4,0.7,0.4,0.3,1.3,2.2
Naz Reid,C,22,MIN,73,5,15.8,3.0,6.1,.496,0.7,2.1,.351,2.3,4.0,.571,.556,1.5,2.0,.762,1.3,2.6,3.9,0.9,0.5,0.9,1.0,2.2,8.4
Nick Richards,C,24,CHO,48,5,7.5,1.2,1.8,.678,0.0,0.0,0,1.2,1.8,.678,.678,0.6,0.9,.698,0.7,1.1,1.7,0.3,0.2,0.4,0.5,1.0,3.1
Josh Richardson,SG,28,SAS,16,6,24.3,3.8,8.8,.426,1.8,4.1,.446,1.9,4.8,.408,.528,1.6,1.6,.962,0.9,2.0,2.9,2.4,1.1,0.4,1.3,1.6,10.9
Austin Rivers,SG,29,DEN,63,16,21.9,2.2,5.3,.414,1.2,3.5,.345,1.0,1.8,.550,.529,0.5,0.6,.725,0.3,1.4,1.7,1.4,0.8,0.1,0.8,1.7,6.0
Duncan Robinson,SG,27,MIA,75,67,26.2,3.7,9.3,.397,2.9,8.0,.369,0.8,1.3,.564,.554,0.7,0.8,.836,0.3,2.3,2.6,1.6,0.5,0.2,0.8,2.6,11.0
Justin Robinson,PG,24,DET,5,0,18.2,1.8,5.6,.321,1.6,4.2,.381,0.2,1.4,.143,.464,0.4,1.2,.333,0.4,1.0,1.4,1.8,0.2,0.2,1.0,1.6,5.6
